movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
Paul Blart: Mall Cop 2,4.4,2015,PG,Action,Andy Fickman,D.B. Woodside,"Action, Comedy, Crime",94.0,Action,Comedy,Crime,,,,,,3,2010,Poor,Medium
Creed,7.7,2015,PG-13,Drama,Ryan Coogler,Sylvester Stallone,"Drama, Sport",133.0,Drama,Sport,,,,,,,2,2010,Good,Long
Aloha,5.4,2015,PG-13,Comedy,Cameron Crowe,Emma Stone,"Comedy, Drama, Romance",105.0,Comedy,Drama,Romance,,,,,,3,2010,Average,Medium
Ip Man 3,7.2,2015,PG-13,Action,Wilson Yip,Mike Tyson,"Action, Biography, Drama, History",105.0,Action,Biography,Drama,History,,,,,4,2010,Good,Medium
Trainwreck,6.3,2015,R,Comedy,Judd Apatow,Amy Schumer,"Comedy, Romance",129.0,Comedy,Romance,,,,,,,2,2010,Average,Long
Heist,6.1,2015,R,Action,Scott Mann,Robert De Niro,"Action, Crime, Thriller",93.0,Action,Crime,Thriller,,,,,,3,2010,Average,Medium
Concussion,7.1,2015,PG-13,Biography,Peter Landesman,Will Smith,"Biography, Drama, Sport",123.0,Biography,Drama,Sport,,,,,,3,2010,Good,Long
Hot Pursuit,5.1,2015,PG-13,Action,Anne Fletcher,Jim Gaffigan,"Action, Comedy, Crime",87.0,Action,Comedy,Crime,,,,,,3,2010,Average,Short
The Walk,7.4,2015,PG,Adventure,Robert Zemeckis,Joseph Gordon-Levitt,"Adventure, Biography, Drama, Thriller",123.0,Adventure,Biography,Drama,Thriller,,,,,4,2010,Good,Long
Unfinished Business,5.4,2015,R,Comedy,Ken Scott,Tom Wilkinson,Comedy,91.0,Comedy,,,,,,,,1,2010,Average,Medium
The Longest Ride,7.1,2015,PG-13,Drama,George Tillman Jr.,Tiago Riani,"Drama, Romance",128.0,Drama,Romance,,,,,,,2,2010,Good,Long
Vacation,6.1,2015,R,Adventure,John Francis Daley,Chris Hemsworth,"Adventure, Comedy",99.0,Adventure,Comedy,,,,,,,2,2010,Average,Medium
Sicario,7.6,2015,R,Action,Denis Villeneuve,Edgar Arreola,"Action, Crime, Drama, Mystery, Thriller",121.0,Action,Crime,Drama,Mystery,Thriller,,,,5,2010,Good,Long
Southpaw,7.5,2015,R,Drama,Antoine Fuqua,Jake Gyllenhaal,"Drama, Sport",124.0,Drama,Sport,,,,,,,2,2010,Good,Long
The Age of Adaline,7.2,2015,PG-13,Drama,Lee Toland Krieger,Harrison Ford,"Drama, Fantasy, Romance",112.0,Drama,Fantasy,Romance,,,,,,3,2010,Good,Medium
Wild Card,5.6,2015,R,Action,Simon West,Jason Statham,"Action, Crime, Drama, Thriller",92.0,Action,Crime,Drama,Thriller,,,,,4,2010,Average,Medium
A Warriors Tail,4.1,2015,R,Adventure,Maksim Fadeev,Konstantin Khabenskiy,"Adventure, Animation, Fantasy",85.0,Adventure,Animation,Fantasy,,,,,,3,2010,Poor,Short
Pitch Perfect 2,6.5,2015,PG-13,Comedy,Elizabeth Banks,Anna Kendrick,"Comedy, Music",115.0,Comedy,Music,,,,,,,2,2010,Average,Medium
Straight Outta Compton,7.9,2015,R,Biography,F. Gary Gray,Aldis Hodge,"Biography, Crime, Drama, History, Music",150.5,Biography,Crime,Drama,History,Music,,,,5,2010,Good,Long
